Machine ID,Slot number,Product code,Abnormal state,Key,Capacity,Existing quantity,Machine Price,User-defined price,Name of commodity,Image,Downloading status
2503060046,1,898,1,,199,199,3.8,3.8,Nic Nacs Double Crunch Peanuts	,productdefult.png	,True,
2503060046,3,1206,1,,199,199,2.6,2.6,Prima Erdnussstangen 	,productdefult.png	,True,
2503060046,5,900,1,,0,0,3,3,Soletti Gold Fischli Seasam	,productdefult.png	,True,
2503060046,7,,1,,199,199,2.7,2.7,,,True,
2503060046,9,,1,,199,199,2.7,2.7,,,True,
2503060046,11,1178,1,,199,199,3.6,3.6,Bugles Nacho Cheese	,productdefult.png	,True,
2503060046,13,1143,1,,199,199,3.4,3.4,Kellys Furiosi Käse 	,productdefult.png	,True,
2503060046,15,905,1,,199,199,3.6,3.6,Chio Tortillas Nacho Cheese	,productdefult.png	,True,
2503060046,17,907,1,,199,6,3.6,3.6,Chio Tortillas Mexican BBQ Style	,productdefult.png	,True,
2503060046,19,906,1,,199,6,3.6,3.6,Chio Tortillas Hot Chilli	,productdefult.png	,True,
2503060046,21,,1,,6,6,500,,,,True,
2503060046,23,,1,,6,6,500,,,,True,
2503060046,25,,1,,6,6,500,,,,True,
2503060046,27,,1,,6,6,500,,,,True,
2503060046,29,,1,,6,6,500,,,,True,
2503060046,31,,1,,199,6,500,,,,True,
2503060046,33,,1,,199,6,500,,,,True,
2503060046,35,,1,,199,6,500,,,,True,
2503060046,37,911,1,,199,6,3.6,3.6,Cheetos Crunchos Sweet Chilli	,productdefult.png	,True,
2503060046,39,889,1,,199,6,3.4,3.4,Kellys Sing Sing Chips	,productdefult.png	,True,
2503060046,41,,1,,199,5,1,,,,,
2503060046,43,,1,,199,6,1,,,,,
2503060046,45,913,1,,199,6,3.6,3.6,Lorenz Rohscheiben Kartoffelchips Steinsalz	,productdefult.png	,True,
2503060046,47,1162,1,,199,6,3.8,3.8,Dorito Käse 	,productdefult.png	,True,
2503060046,49,1107,1,,199,6,3.8,3.8,Dorito Chilli 	,productdefult.png	,True,
2503060046,51,970,1,,199,4,3.8,3.8,Bio Linsen Chips Sweet Chilly Heimat Gut 90gr	,productdefult.png	,True,
2503060046,53,912,1,,199,6,3.6,3.6,Kellys Linsenchips Paprika Style	,productdefult.png	,True,
2503060046,55,1160,1,,199,6,3.8,3.8,Kellys Ofen Chips Paprika 	,productdefult.png	,True,
2503060046,57,1173,1,,199,6,3.8,3.8,Riffels Chili Paprika 	,productdefult.png	,True,
2503060046,59,1177,1,,199,6,3.8,3.8,Riffels Natural	,productdefult.png	,True,
2503060046,101,,1,,6,6,500,,,,True,
2503060046,102,,1,,6,6,500,,,,True,
2503060046,103,,1,,6,6,500,,,,True,
2503060046,104,,1,,6,6,500,,,,True,
2503060046,105,,1,,6,6,500,,,,True,
2503060046,106,,1,,6,6,500,,,,True,
2503060046,107,,1,,6,6,500,,,,True,
2503060046,108,,1,,6,6,500,,,,True,
2503060046,111,894,1,,6,6,2.5,2.5,Pringles Hot and Spicy 40g	,productdefult.png	,True,
2503060046,112,895,1,,6,6,2.5,2.5,Pringles Originals 40g	,productdefult.png	,True,
2503060046,113,896,1,,6,6,2.5,2.5,Pringles Paprika 40g	,productdefult.png	,True,
2503060046,114,,1,,6,6,655.35,,,,,
2503060046,115,1074,1,,6,6,3.2,3.2,Ganic - happyness 	,productdefult.png	,True,
2503060046,116,1185,1,,6,6,3.2,3.2,Ganic Mango 	,productdefult.png	,True,
2503060046,117,1239,1,,6,6,3.2,3.2,Ganic Wake Up 0,5l pet 	,productdefult.png	,True,
2503060046,118,,1,,6,6,500,,,,True,
2503060046,121,,1,,6,6,500,,,,True,
2503060046,122,,1,,6,6,500,,,,,
2503060046,123,1082,1,,6,6,3,3,Captain Kombucha Himbeere Zero 	,productdefult.png	,True,
2503060046,124,1191,1,,6,6,3,3,Captain Kombucha Ingwer Zitrone 	,productdefult.png	,True,
2503060046,125,862,1,,6,6,3,3,Captain Kombucha pfirsich	,productdefult.png	,True,
2503060046,126,863,1,,6,6,3,3,Captain Kombucha original	,productdefult.png	,True,
2503060046,127,1138,1,,6,6,3.2,3.2,Pago Multifrucht Tropical 	,productdefult.png	,True,
2503060046,128,1119,1,,6,6,3.2,3.2,Pago ACE ,productdefult.png	,True,
